  0.00   -1.00   -5.00   -4.00 1    5.01    5.00    0.00 2    0.01    5.01    2.00 
  1.00   -1.00   -5.00   -4.00 1    5.10    5.00    0.00 2    0.12    5.11    1.99 
  2.00   -1.00   -4.99   -3.99 1    5.17    4.99    0.01 2    0.25    5.20    1.98 
  3.00   -0.99   -4.97   -3.99 1    5.21    4.98    0.02 2    0.39    5.28    1.95 
  4.00   -0.98   -4.95   -3.98 1    5.24    4.96    0.04 2    0.54    5.35    1.91 
  5.00   -0.97   -4.92   -3.96 1    5.25    4.94    0.06 2    0.72    5.42    1.86 
  6.00   -0.96   -4.89   -3.95 1    5.23    4.91    0.09 2    0.91    5.48    1.81 
  7.00   -0.95   -4.85   -3.93 1    5.19    4.89    0.12 2    1.13    5.53    1.74 
  8.00   -0.93   -4.81   -3.91 1    5.12    4.86    0.16 2    1.36    5.57    1.65 
  9.00   -0.91   -4.76   -3.88 1    5.03    4.83    0.21 2    1.62    5.60    1.55 
 10.00   -0.89   -4.71   -3.85 1    4.89    4.80    0.27 2    1.91    5.62    1.44 
 11.00   -0.87   -4.65   -3.82 1    4.71    4.78    0.34 2    2.25    5.62    1.31 
 12.00   -0.84   -4.58   -3.79 1    4.47    4.78    0.44 2    2.64    5.59    1.15 
 13.00   -0.82   -4.51   -3.76 1    4.12    4.82    0.57 2    3.13    5.51    0.95 
 14.00   -0.78   -4.43   -3.72 1    3.69    5.13    0.72 2    3.84    4.73    0.67 
 15.00   -0.75   -4.34   -3.68 1    3.76    5.10    0.68 2    3.61    7.14    0.68 
 16.00   -0.71   -4.25   -3.63 1    3.82    5.06    0.63 2    3.50   10.36    0.63 
 17.00   -0.67   -4.15   -3.59 1    3.88    5.01    0.59 2    3.38   13.53    0.57 
 18.00   -0.63   -4.05   -3.54 1    3.94    4.95    0.54 2    3.27   16.69    0.51 
 19.00   -0.58   -3.93   -3.48 1    3.99    4.89    0.48 2    3.16   19.84    0.45 
 20.00   -0.53   -3.82   -3.42 1    4.04    4.82    0.42 2    3.05   22.98    0.39 
 21.00   -0.47   -3.69   -3.36 1    4.08    4.74    0.36 2    2.93   26.11    0.33 
 22.00   -0.41   -3.55   -3.30 1    4.12    4.66    0.30 2    2.82   29.25    0.27 
 23.00   -0.35   -3.41   -3.23 1    4.16    4.57    0.23 2    2.71   32.38    0.21 
 24.00   -0.28   -3.26   -3.16 1    4.19    4.46    0.16 2    2.60   35.51    0.15 
 25.00   -0.20   -3.10   -3.09 1    4.21    4.35    0.09 2    2.48   38.63    0.09 
 26.00   -0.12   -2.93   -3.01 1    4.23    4.23    0.01 2    2.37   41.76    0.03 
 27.00   -0.04   -2.75   -2.93 1    4.25    4.10   -0.07 2    2.26   44.88   -0.03 
 28.00    0.06   -2.56   -2.84 1    4.25    3.96   -0.16 2    2.14   48.01   -0.09 
 29.00    0.16   -2.36   -2.75 1    4.25    3.81   -0.25 2    2.03   51.13   -0.15 
 30.00    0.26   -2.14   -2.65 1    4.25    3.64   -0.35 2    1.92   54.25   -0.21 
 31.00    0.38   -1.91   -2.55 1    4.23    3.46   -0.45 2    1.81   57.37   -0.27 
 32.00    0.51   -1.66   -2.44 1    4.20    3.27   -0.56 2    1.69   60.49   -0.33 
 33.00    0.66   -1.40   -2.32 1    4.15    3.05   -0.68 2    1.58   63.61   -0.39 
 34.00    0.82   -1.11   -2.19 1    4.09    2.82   -0.81 2    1.47   66.73   -0.45 
 35.00    1.00   -0.80   -2.06 1    4.01    2.55   -0.94 2    1.36   69.85   -0.51 
 36.00    1.22   -0.45   -1.91 1    3.89    2.26   -1.09 2    1.24   72.97   -0.57 
 37.00    1.48   -0.06   -1.76 1    3.73    1.91   -1.24 2    1.13   76.08   -0.63 
 38.00    1.83    0.41   -1.58 1    3.48    1.49   -1.42 2    1.02   79.20   -0.69 
 39.00    2.71    0.98   -1.50 1    2.93    0.93   -1.60 2    0.91   82.32   -0.75 
 40.00    2.76    1.00   -1.50 1    3.89   -4.00   -4.88 2    0.79   85.44   -0.81 
 41.00    2.80    1.03   -1.50 1    5.32  -10.27   -9.12 2    0.68   88.55   -0.87 
 42.00    2.85    1.05   -1.50 1    6.76  -16.52  -13.35 2    0.57   91.67   -0.93 
 43.00    2.90    1.08   -1.50 1    8.19  -22.78  -17.57 2    0.46   94.78   -0.99 
 44.00    2.95    1.10   -1.50 1    9.62  -29.03  -21.80 2    0.34   97.90   -1.05 
 45.00    3.00    1.13   -1.50 1   11.05  -35.28  -26.02 2    0.23  101.02   -1.11 
 46.00    3.05    1.15   -1.50 1   12.48  -41.53  -30.25 2    0.12  104.13   -1.17 
 47.00    3.10    1.18   -1.50 1   13.91  -47.78  -34.47 2    0.01  107.25   -1.23 
 48.00    3.15    1.20   -1.50 1   15.34  -54.02  -38.70 2   -0.11  110.36   -1.29 
 49.00    3.20    1.23   -1.50 1   16.77  -60.27  -42.92 2   -0.22  113.48   -1.35 
 50.00    3.25    1.25   -1.50 1   18.20  -66.52  -47.15 2   -0.33  116.59   -1.42 
 51.00    3.30    1.28   -1.50 1   19.63  -72.77  -51.37 2   -0.44  119.70   -1.48 
 52.00    3.35    1.30   -1.50 1   21.06  -79.01  -55.59 2   -0.56  122.82   -1.54 
 53.00    3.40    1.33   -1.50 1   22.49  -85.26  -59.82 2   -0.67  125.93   -1.60 
 54.00    3.45    1.35   -1.50 1   23.92  -91.51  -64.04 2   -0.78  129.05   -1.66 
 55.00    3.50    1.38   -1.50 1   25.35  -97.75  -68.26 2   -0.89  132.16   -1.72 
 56.00    3.55    1.40   -1.50 1   26.78 -104.00  -72.48 2   -1.01  135.28   -1.78 
 57.00    3.60    1.43   -1.50 1   28.22 -110.25  -76.71 2   -1.12  138.39   -1.84 
 58.00    3.65    1.45   -1.50 1   29.65 -116.49  -80.93 2   -1.23  141.50   -1.90 
 59.00    3.70    1.48   -1.50 1   31.08 -122.74  -85.15 2   -1.34  144.62   -1.96 
 60.00    3.75    1.50   -1.50 1   32.51 -128.99  -89.38 2   -1.46  147.73   -2.02 
 61.00    3.80    1.53   -1.50 1   33.94 -135.23  -93.60 2   -1.57  150.84   -2.08 
 62.00    3.85    1.55   -1.50 1   35.37 -141.48  -97.82 2   -1.68  153.96   -2.14 
 63.00    3.90    1.58   -1.50 1   36.80 -147.72 -102.04 2   -1.79  157.07   -2.20 
 64.00    3.95    1.60   -1.50 1   38.23 -153.97 -106.27 2   -1.91  160.18   -2.26 
 65.00    4.00    1.63   -1.50 1   39.66 -160.22 -110.49 2   -2.02  163.30   -2.32 
 66.00    4.05    1.65   -1.50 1   41.09 -166.46 -114.71 2   -2.13  166.41   -2.38 
 67.00    4.10    1.68   -1.50 1   42.52 -172.71 -118.93 2   -2.24  169.52   -2.44 
 68.00    4.15    1.70   -1.50 1   43.95 -178.95 -123.16 2   -2.35  172.63   -2.50 
 69.00    4.20    1.73   -1.50 1   45.38 -185.20 -127.38 2   -2.47  175.75   -2.56 
 70.00    4.25    1.75   -1.50 1   46.81 -191.44 -131.60 2   -2.58  178.86   -2.62 
 71.00    4.30    1.78   -1.50 1   48.24 -197.69 -135.82 2   -2.69  181.97   -2.68 
 72.00    4.35    1.80   -1.50 1   49.67 -203.94 -140.05 2   -2.80  185.09   -2.74 
 73.00    4.40    1.83   -1.50 1   51.10 -210.18 -144.27 2   -2.92  188.20   -2.80 
 74.00    4.45    1.85   -1.50 1   52.53 -216.43 -148.49 2   -3.03  191.31   -2.86 
 75.00    4.50    1.88   -1.50 1   53.96 -222.67 -152.71 2   -3.14  194.42   -2.92 
 76.00    4.55    1.90   -1.50 1   55.39 -228.92 -156.94 2   -3.25  197.54   -2.98 
 77.00    4.60    1.93   -1.50 1   56.82 -235.16 -161.16 2   -3.37  200.65   -3.04 
 78.00    4.65    1.95   -1.50 1   58.25 -241.41 -165.38 2   -3.48  203.76   -3.10 
 79.00    4.70    1.98   -1.50 1   59.68 -247.65 -169.60 2   -3.59  206.87   -3.16 
 80.00    4.75    2.00   -1.50 1   61.11 -253.90 -173.83 2   -3.70  209.98   -3.22 
 81.00    4.80    2.03   -1.50 1   62.54 -260.15 -178.05 2   -3.82  213.10   -3.28 
 82.00    4.85    2.05   -1.50 1   63.97 -266.39 -182.27 2   -3.93  216.21   -3.34 
 83.00    4.90    2.08   -1.50 1   65.40 -272.64 -186.49 2   -4.04  219.32   -3.40 
 84.00    4.95    2.10   -1.50 1   66.83 -278.88 -190.71 2   -4.15  222.43   -3.46 
 85.00    5.00    2.13   -1.50 1   68.26 -285.13 -194.94 2   -4.27  225.54   -3.52 
 86.00    5.05    2.15   -1.50 1   69.69 -291.37 -199.16 2   -4.38  228.66   -3.59 
 87.00    5.10    2.18   -1.50 1   71.12 -297.62 -203.38 2   -4.49  231.77   -3.65 
 88.00    5.15    2.20   -1.50 1   72.55 -303.86 -207.60 2   -4.60  234.88   -3.71 
 89.00    5.20    2.23   -1.50 1   73.98 -310.11 -211.83 2   -4.71  237.99   -3.77 
 90.00    5.25    2.25   -1.50 1   75.41 -316.35 -216.05 2   -4.83  241.10   -3.83 
 91.00    5.30    2.28   -1.50 1   76.84 -322.60 -220.27 2   -4.94  244.21   -3.89 
 92.00    5.35    2.30   -1.50 1   78.27 -328.84 -224.49 2   -5.05  247.33   -3.95 
 93.00    5.40    2.33   -1.50 1   79.70 -335.09 -228.71 2   -5.16  250.44   -4.01 
 94.00    5.45    2.35   -1.50 1   81.13 -341.34 -232.94 2   -5.28  253.55   -4.07 
 95.00    5.50    2.38   -1.50 1   82.56 -347.58 -237.16 2   -5.39  256.66   -4.13 
 96.00    5.55    2.40   -1.50 1   83.99 -353.83 -241.38 2   -5.50  259.77   -4.19 
 97.00    5.60    2.43   -1.50 1   85.42 -360.07 -245.60 2   -5.61  262.88   -4.25 
 98.00    5.65    2.45   -1.50 1   86.85 -366.32 -249.82 2   -5.73  266.00   -4.31 
 99.00    5.70    2.48   -1.50 1   88.28 -372.56 -254.05 2   -5.84  269.11   -4.37 
100.00    5.75    2.50   -1.50 1   89.71 -378.81 -258.27 2   -5.95  272.22   -4.43 
101.00    5.80    2.53   -1.50 1   91.14 -385.05 -262.49 2   -6.06  275.33   -4.49 
102.00    5.85    2.55   -1.50 1   92.57 -391.30 -266.71 2   -6.18  278.44   -4.55 
103.00    5.90    2.58   -1.50 1   94.00 -397.54 -270.94 2   -6.29  281.55   -4.61 
104.00    5.95    2.60   -1.50 1   95.43 -403.79 -275.16 2   -6.40  284.66   -4.67 
105.00    6.00    2.63   -1.50 1   96.86 -410.03 -279.38 2   -6.51  287.77   -4.73 
106.00    6.05    2.65   -1.50 1   98.29 -416.28 -283.60 2   -6.62  290.89   -4.79 
107.00    6.10    2.68   -1.50 1   99.71 -422.52 -287.82 2   -6.74  294.00   -4.85 
108.00    6.15    2.70   -1.50 1  101.14 -428.77 -292.05 2   -6.85  297.11   -4.91 
109.00    6.20    2.73   -1.50 1  102.57 -435.01 -296.27 2   -6.96  300.22   -4.97 
110.00    6.25    2.75   -1.50 1  104.00 -441.26 -300.49 2   -7.07  303.33   -5.03 
111.00    6.30    2.78   -1.50 1  105.43 -447.50 -304.71 2   -7.19  306.44   -5.09 
112.00    6.35    2.80   -1.50 1  106.86 -453.75 -308.93 2   -7.30  309.55   -5.15 
113.00    6.40    2.83   -1.50 1  108.29 -459.99 -313.16 2   -7.41  312.66   -5.21 
114.00    6.45    2.85   -1.50 1  109.72 -466.24 -317.38 2   -7.52  315.78   -5.27 
115.00    6.50    2.88   -1.50 1  111.15 -472.48 -321.60 2   -7.64  318.89   -5.33 
